,Or2a,Or7a,Or9a,Or10a,Or13a,Or19a,Or22a,Or22b,Or23a,Or33a,Or33b,Or33c,Or35a,Or42a,Or42b,Or43a,Or43b,Or46a,Or47a,Or47b,Or49a,Or49b,Or59b,Or59c,Or65a,Or67a,Or67b,Or67c,Or67d,Or71a,Or82a,Or85a,Or85b,Or85d,Or85e,Or85f,Or88a,Or92a,Or98a,Gr21a.Gr63a,ab4B,Or69a,Ir31a,Ir41a,Ir75a,Ir75d,Ir76a,Ir84a,Ir92a,Ir64a.DC4,Ir64a.DP1m,Or83c
3-methyl-butanol,0.126018228550238,0.240409867817425,0.329123259150995,0.0772563854019236,0.140206819345982,0.270552391727975,0.29961032285316,0.0,0.175865364120799,0.0,0.15182627196898,0.0,0.746889120415067,0.0,0.0340529910355662,0.284803929404402,0.249873627633195,0.0,0.104856640852969,0.0991732573443123,0.0,0.0800970992312897,0.0668684859478996,0.0,0.0561359132303256,0.153246893224165,0.51336148802202,0.104747608228263,0.0,0.0999451828051077,0.10927693766072,0.0174633398671594,0.126983421536749,0.0,0.0,0.152533354890695,0.0645370379374503,0.0167943726432851,0.0783619089980014,0.0,0.0218377107403461,0.343058968058968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230414746543779
3-methyl-2-buten-1-ol,0.143043000262724,0.443354202616726,0.241660364620549,0.0509927035082774,0.0,0.223796466053532,0.29964848425757,0.0,0.141977413250467,0.0,0.162327397583793,0.0,0.612233157714757,0.0,0.0,0.208295285895437,0.265212142846442,0.0,0.0901883087231325,0.133133080608284,0.0,0.117026402250635,0.0762595164180458,0.0,0.0724828524154027,0.493105607381808,0.0,0.342655270456632,0.0,0.0,0.133656082979036,0.0828203317429052,0.0878001519473179,0.0,0.0,0.140870934289194,0.0707519594614322,0.0,0.652417120782848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-penten-3-ol,0.137309238012759,0.240967581502096,0.545103421183474,0.0493768851809048,0.0,0.236544381763708,0.202229336481477,0.0,0.161288993742946,0.0,0.166338547676357,0.0,0.181523682148733,0.0,0.0,0.297156764496468,0.440153602588202,0.0,0.149301507282923,0.0718284908774701,0.0,0.110811771406688,0.10489451928047,0.0,0.0561359132303256,0.0270440683924555,0.0,0.431420480552457,0.0,0.0,0.142784942534247,0.109409857531449,0.0743043354725009,0.0,0.0,0.149552234369464,0.0438206328575108,0.0,0.00785553243453094,0.0,0.312123025878392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-octen-3-ol,0.125296434441768,0.0986479235860506,0.225551695909113,0.0711260488944018,0.868828905785339,0.40164013344005,0.370697439035169,0.0615942028985507,0.0942865484653541,0.021324354657688,0.00861681904871081,0.0,0.55144090501523,0.154061703101696,0.0877607535355994,0.41672515852187,0.197381049274668,0.0,0.303276830371026,0.127077122192522,0.124352490496586,0.064351890361253,0.0338017480304811,0.203777487497799,0.0933040656600708,0.319913838110868,0.247854144226796,0.0708645632575511,0.0,0.120289722041003,0.0551718412454041,0.168209960851513,0.591603467478706,0.39313757433765,0.0,0.1192902300106,0.0197413070088934,0.0314153671596335,0.593684036179434,0.148529540547771,0.026973180998853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138248847926267
E2-hexenol,0.140169146144565,0.452332468903588,0.356714127390234,0.054439520147947,0.586363257297793,0.272549344666288,0.242720441278405,0.0,0.196835224560548,0.0,0.113588693114624,0.0,0.749778066721093,0.0,0.0312449951322644,0.214914766208273,0.392582930024875,0.0,0.125512854291163,0.0420162435730156,0.0,0.0929689880390062,0.0534619791360124,0.0,0.0724828524154027,0.22484334620906,0.0,0.233961354415658,0.0,0.0,0.0521646693747395,0.490252330188437,0.49208939431358,0.0,0.0,0.243892515626129,0.0396773518415229,0.0,0.58167957036663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248847926267281
Z2-hexenol,0.137309238012759,0.418117992615365,0.309404950552491,0.0501953592202673,0.0,0.298349912842818,0.286655859402327,0.0,0.227596092225793,0.0,0.113588693114624,0.0,0.68877346734762,0.0,0.201377130161284,0.352357025610957,0.697701390115564,0.0,0.200465990980567,0.0875483059775813,0.0,0.0855101093149998,0.0735301935370622,0.0,0.0387336993445788,0.230802778355851,0.0,0.385200698055766,0.0,0.0,0.13065666798459,0.0765538447469653,0.505653466378907,0.0,0.0,0.183312712989602,0.0313907898095472,0.17811686944485,0.303005157050917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138248847926267
E3-hexenol,0.169435658552962,0.292502037614904,0.525379947216137,0.0904601484781186,0.0,0.260256183516212,0.257399849389423,0.0,0.194517496161668,0.0,0.138986802388408,0.0,0.720816987244564,0.0,0.0,0.253556956587953,0.272737691462024,0.0,0.116642561872167,0.0875483059775813,0.0,0.104568480971839,0.0896016844932915,0.0,0.0818662174138386,0.326073349601705,0.0,0.425146666411929,0.0,0.0,0.109312457498471,0.569032741137931,0.81621133302872,0.0,0.0,0.260480562257712,0.0210038434341558,0.0,0.454056388486094,0.0,0.308585104757681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z3-hexenol,0.123234561565712,0.427637948849057,0.444089611597561,0.0590353583375318,0.453905162645479,0.283538767924098,0.139427243334243,0.0,0.184572000923767,0.0,0.142186908070283,0.0,0.694614268983416,0.0,0.190306542762894,0.420789324350332,0.358329882937001,0.0,0.188403558062891,0.104916246422099,0.0,0.121159417251419,0.111418501546975,0.0,0.0387336993445788,0.236604021789689,0.958164586828574,0.432237810838592,0.0,0.0,0.109312457498471,0.299844639103405,0.660822541516768,0.0,0.0,0.208861538013707,0.0231042277775713,0.0159659506041832,0.457524393740859,0.0,0.315521507423466,0.478194103194103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glycerol,0.0542748389042236,0.0738367218129548,0.100631075111081,0.0486169477884642,0.0,0.0673902590839214,0.0618092303544095,0.0,0.00429258085375716,0.0,0.0944948354473489,0.0,0.0465684515696081,0.0,0.0,0.0298867118916595,0.0156215301354562,0.0,0.0428336781632899,0.196487095088294,0.0,0.0577640141437555,0.00675840448088825,0.0,0.0493135554405226,0.00955172063910775,0.0,0.0127874367880056,0.0,0.0,0.017899252477398,0.04941399811232,0.0,0.0,0.0,0.041419000984427,0.0728235999694261,0.0,0.0144373242873496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,3-butanediol",0.0637914765191967,0.0537006087631803,0.621454270188308,0.0532615684493143,0.218445059649153,0.0674775681445331,0.170062100729319,0.0,0.0107314521343929,0.0,0.155736423919926,0.0,0.0732159712284488,0.0,0.0201380994318401,0.0459795567563992,0.463994032688763,0.0,0.0428336781632899,0.172578342993801,0.0,0.0515455945253841,0.0367153523231021,0.0,0.0387336993445788,0.0361601889324275,0.251398212277669,0.082598125616706,0.0,0.0,0.0788829256477657,0.0889352771577433,0.057416986501478,0.0,0.0,0.0639884353834444,0.0562504759054745,0.490886450233648,0.0389657899764776,0.0,0.305151950268904,0.276412776412776,0.111240040559342,0.0747448102240502,0.182688905287245,0.0126426570081323,0.0347805737943945,0.160227697582484,0.0515095843507095,0.280597933912568,0.611890264760211,0.0
