,pre_root_id,post_root_id,neuropil,syn_count,nt_type
3014,720575940633909695,720575940624057853,AL_L,7,ACH
3031,720575940619565648,720575940624057853,AL_L,28,ACH
3048,720575940629906060,720575940626650776,AL_L,14,ACH
3064,720575940609577518,720575940618385620,AL_L,15,ACH
3065,720575940623087859,720575940618308825,AL_L,135,ACH
3073,720575940627214891,720575940631619921,AL_L,5,ACH
3078,720575940615696490,720575940606762686,AL_L,63,ACH
3084,720575940641979277,720575940625251401,AL_L,11,ACH
3102,720575940620981274,720575940632795532,AL_L,8,ACH
3103,720575940626630699,720575940624057853,AL_L,25,ACH
3107,720575940645728132,720575940631526215,AL_L,3,ACH
3113,720575940614926790,720575940623528925,AL_L,82,SER
3115,720575940617433142,720575940631683927,AL_L,50,ACH
3116,720575940645728132,720575940632403986,AL_L,50,ACH
3144,720575940620511732,720575940623875819,AL_L,16,DA
3177,720575940612704802,720575940630546540,AL_L,17,SER
3178,720575940630763390,720575940648650884,AL_L,61,ACH
3197,720575940618293883,720575940623000858,AL_L,32,ACH
3209,720575940653829537,720575940606757041,AL_L,6,SER
3214,720575940613118610,720575940606762686,AL_L,89,ACH
3217,720575940615994907,720575940624057853,AL_L,26,ACH
3221,720575940645728132,720575940618385620,AL_L,17,ACH
3233,720575940608376132,720575940622904069,AL_L,10,ACH
3273,720575940626811023,720575940606762686,AL_L,13,ACH
3274,720575940619219627,720575940632403986,AL_L,53,ACH
3282,720575940631630893,720575940628914692,AL_L,8,ACH
3311,720575940615696490,720575940616397122,AL_L,8,ACH
3340,720575940626614405,720575940623636701,AL_L,36,ACH
3354,720575940642599328,720575940613590501,AL_L,10,ACH
3380,720575940633883744,720575940618757666,AL_L,10,ACH
3387,720575940628601344,720575940606762686,AL_L,107,ACH
3391,720575940631510865,720575940611379569,AL_L,7,ACH
3395,720575940622375389,720575940630077558,AL_L,37,ACH
3404,720575940614054685,720575940615669972,AL_L,5,SER
3414,720575940626179334,720575940627066757,AL_L,42,ACH
3445,720575940623274935,720575940606762686,AL_L,77,ACH
3449,720575940631090759,720575940623636701,AL_L,30,ACH
3466,720575940628601344,720575940628200506,AL_L,24,ACH
3476,720575940628564350,720575940617552541,AL_L,23,ACH
3487,720575940625795453,720575940627214235,AL_R,7,SER
3488,720575940617989417,720575940630546540,AL_L,36,DA
3491,720575940623087859,720575940623000858,AL_L,37,ACH
3506,720575940642599328,720575940625251401,AL_L,9,ACH
3517,720575940614325138,720575940626650776,AL_L,1,ACH
3525,720575940620981274,720575940635945919,AL_L,14,ACH
3537,720575940619219627,720575940639892413,AL_L,7,ACH
3542,720575940633883744,720575940618308825,AL_L,178,ACH
3549,720575940613466577,720575940625251401,AL_L,9,ACH
3558,720575940631885485,720575940628467611,AL_L,33,ACH
3567,720575940623638967,720575940632795532,AL_L,6,ACH
3577,720575940620981274,720575940611379569,AL_L,12,ACH
3598,720575940625814274,720575940638128474,AL_L,5,ACH
3600,720575940626107800,720575940624079821,AL_L,14,ACH
3609,720575940612615149,720575940611379569,AL_L,10,ACH
3613,720575940613118610,720575940631683927,AL_L,28,ACH
3623,720575940621166719,720575940628467611,AL_L,36,ACH
3664,720575940606915849,720575940624079821,AL_L,8,ACH
3675,720575940628277147,720575940611379569,AL_L,10,ACH
3686,720575940610185221,720575940631683927,AL_L,40,ACH
3690,720575940620193472,720575940627265274,AL_L,3,ACH
3695,720575940622375389,720575940627066757,AL_L,55,ACH
3717,720575940628677114,720575940618308825,AL_L,179,ACH
3731,720575940618293883,720575940623636701,AL_L,46,ACH
3785,720575940607085323,720575940604919473,AL_L,5,ACH
3804,720575940626179334,720575940628059722,AL_L,16,ACH
3809,720575940647978804,720575940648650884,AL_L,28,ACH
3819,720575940626107800,720575940614113682,AL_L,15,ACH
3829,720575940623274935,720575940631683927,AL_L,36,ACH
3865,720575940613664874,720575940606762686,AL_L,92,ACH
3876,720575940627000582,720575940632403986,AL_L,43,ACH
3883,720575940628601344,720575940618308825,AL_L,188,ACH
3897,720575940636767856,720575940618308825,AL_L,106,ACH
3919,720575940613664874,720575940628200506,AL_L,13,ACH
3963,720575940628953210,720575940611379569,AL_L,11,ACH
3994,720575940623267559,720575940641592795,AL_L,15,ACH
4016,720575940627000582,720575940618308825,AL_L,120,ACH
4017,720575940618293883,720575940632795532,AL_L,31,ACH
4024,720575940617989417,720575940626143806,AL_L,51,DA
4069,720575940619150040,720575940638775118,AL_L,9,ACH
4072,720575940642599328,720575940616169578,AL_L,12,ACH
4085,720575940626811023,720575940618385620,AL_L,16,ACH
4087,720575940610108002,720575940623528925,AL_L,63,ACH
4095,720575940622477508,720575940648650884,AL_L,30,ACH
4104,720575940623638967,720575940648650884,AL_L,164,ACH
4198,720575940622211845,720575940627066757,AL_L,9,ACH
4199,720575940626107800,720575940639892413,AL_L,22,ACH
4210,720575940627606375,720575940623636701,AL_L,26,ACH
4218,720575940615302879,720575940623528925,AL_L,73,ACH
4228,720575940639022414,720575940623528925,AL_L,63,ACH
4237,720575940612615149,720575940623636701,AL_L,19,ACH
4239,720575940643906340,720575940648650884,AL_L,53,ACH
4249,720575940613664874,720575940628023685,AL_L,51,ACH
4267,720575940627000582,720575940618757666,AL_L,21,ACH
4277,720575940628285450,720575940620311718,AL_L,7,ACH
4287,720575940619219627,720575940611379569,AL_L,16,ACH
4297,720575940623302669,720575940620311718,AL_L,9,ACH
4305,720575940606915849,720575940606762686,AL_L,35,ACH
4315,720575940634733537,720575940617910848,AL_L,5,ACH
4318,720575940621740493,720575940639892413,AL_L,21,ACH
4332,720575940625814274,720575940627066757,AL_L,10,ACH
4335,720575940617067305,720575940632795532,AL_L,10,ACH
4340,720575940653892257,720575940613970147,AL_L,7,ACH
4353,720575940643906340,720575940624079821,AL_L,5,ACH
4356,720575940628335183,720575940624057853,AL_L,30,ACH
4373,720575940628976887,720575940606762686,AL_L,32,ACH
4379,720575940620981274,720575940638128474,AL_L,6,ACH
4391,720575940622084681,720575940628059722,AL_L,35,ACH
4398,720575940628677114,720575940628200506,AL_L,29,ACH
4412,720575940623302669,720575940637602650,AL_L,6,ACH
4422,720575940621740493,720575940628023685,AL_L,7,ACH
4432,720575940622972167,720575940622054497,AL_L,8,ACH
4471,720575940617433142,720575940628023685,AL_L,45,ACH
4493,720575940631885485,720575940632795532,AL_L,14,ACH
4498,720575940622084681,720575940617295901,AL_L,11,ACH
4564,720575940631925096,720575940627265274,AL_L,14,ACH
4570,720575940617534676,720575940638128474,AL_L,11,ACH
4578,720575940608376132,720575940628023685,AL_L,48,ACH
4605,720575940626107800,720575940638775118,AL_L,13,ACH
4612,720575940628601344,720575940631683927,AL_L,31,ACH
4624,720575940619219627,720575940660217473,AL_L,9,ACH
4629,720575940614212514,720575940625251401,AL_L,5,ACH
4646,720575940623302669,720575940614113682,AL_L,7,ACH
4680,720575940620714921,720575940630077558,AL_L,12,ACH
4712,720575940610185221,720575940618308825,AL_L,176,ACH
4722,720575940622477508,720575940606762686,AL_L,16,ACH
4749,720575940623267559,720575940625251401,AL_L,6,ACH
4762,720575940612700450,720575940637910106,AL_L,5,ACH
4764,720575940621482665,720575940625251401,AL_L,8,ACH
4769,720575940609577518,720575940632795532,AL_L,27,ACH
4795,720575940626349957,720575940623636701,AL_L,1,SER
4818,720575940626811023,720575940625251401,AL_L,14,ACH
4823,720575940628599296,720575940618308825,AL_L,173,ACH
4825,720575940628601344,720575940615073587,AL_L,13,ACH
4850,720575940638513752,720575940611379569,AL_L,19,ACH
4876,720575940622745834,720575940606762686,AL_L,50,ACH
4896,720575940631090759,720575940628467611,AL_L,27,ACH
4907,720575940622745834,720575940632795532,AL_L,8,ACH
4931,720575940628564350,720575940626650776,AL_L,10,ACH
4969,720575940626811023,720575940616169578,AL_L,17,ACH
4971,720575940613118610,720575940618308825,AL_L,185,ACH
4988,720575940609924306,720575940631683927,AL_L,26,ACH
4991,720575940609924306,720575940628023685,AL_L,30,ACH
5000,720575940635114347,720575940628467611,AL_L,105,ACH
5012,720575940627000582,720575940618385620,AL_L,23,ACH
5014,720575940629644375,720575940626143806,AL_L,19,SER
5057,720575940613118610,720575940632198442,AL_L,5,ACH
5086,720575940635114347,720575940635664046,AL_L,7,ACH
5090,720575940638026842,720575940626143806,AL_L,30,ACH
5108,720575940623267559,720575940620311718,AL_L,8,ACH
5128,720575940628677114,720575940625013175,AL_L,5,ACH
5159,720575940612704802,720575940627014949,AL_L,9,SER
5201,720575940628264721,720575940628023685,AL_L,48,ACH
5203,720575940628953210,720575940618385620,AL_L,12,ACH
5212,720575940631925096,720575940627066757,AL_L,67,ACH
5221,720575940625127354,720575940623528925,AL_L,72,ACH
5230,720575940631630893,720575940618308825,AL_L,118,ACH
5236,720575940627214891,720575940639892413,AL_L,12,ACH
5244,720575940628564350,720575940627066757,AL_L,26,ACH
5252,720575940628953210,720575940623000858,AL_L,42,ACH
5265,720575940627214891,720575940618308825,AL_L,111,ACH
5267,720575940617067305,720575940623901695,AL_L,11,ACH
5276,720575940633915327,720575940628467611,AL_L,34,ACH
5280,720575940624366323,720575940611379569,AL_L,9,ACH
5284,720575940613637782,720575940638128474,AL_L,15,ACH
5315,720575940608376132,720575940631683927,AL_L,50,ACH
5321,720575940620714921,720575940627604327,AL_L,27,ACH
5326,720575940633883744,720575940639892413,AL_L,78,ACH
5344,720575940613664874,720575940639892413,AL_L,36,ACH
5358,720575940631630893,720575940623788040,AL_L,16,ACH
5364,720575940628953210,720575940623636701,AL_L,51,ACH
5380,720575940606915849,720575940648650884,AL_L,99,ACH
5386,720575940613118610,720575940611379569,AL_L,7,ACH
5396,720575940626349957,720575940624057853,AL_L,21,DA
5397,720575940623274935,720575940628023685,AL_L,58,ACH
5425,720575940628632702,720575940623528925,AL_L,60,ACH
5434,720575940607085323,720575940617175965,AL_L,13,ACH
5443,720575940626179334,720575940617175965,AL_L,42,ACH
5445,720575940630662737,720575940623528925,AL_L,78,ACH
5451,720575940614548765,720575940626143806,AL_L,40,ACH
5484,720575940631510865,720575940633212441,AL_L,5,ACH
5488,720575940613118610,720575940628023685,AL_L,46,ACH
5502,720575940642599328,720575940632403986,AL_L,37,ACH
5521,720575940616903209,720575940606762686,AL_L,6,ACH
5531,720575940628677114,720575940613489617,AL_L,7,ACH
5535,720575940627606375,720575940625251401,AL_L,8,ACH
5562,720575940631474316,720575940623000858,AL_L,9,ACH
5574,720575940620015201,720575940623636701,AL_L,12,ACH
5589,720575940620981274,720575940623788040,AL_L,9,ACH
5599,720575940608376132,720575940618308825,AL_L,177,ACH
5614,720575940613637782,720575940632795532,AL_L,13,ACH
5699,720575940615994907,720575940617175965,AL_L,22,ACH
5737,720575940628285450,720575940623636701,AL_L,25,ACH
5760,720575940635561584,720575940624057853,AL_L,21,ACH
5765,720575940611085518,720575940624057853,AL_L,35,ACH
5775,720575940641979277,720575940636241550,AL_L,5,ACH
5781,720575940619219627,720575940623000858,AL_L,32,ACH
5789,720575940628499322,720575940623875819,AL_L,14,SER
5790,720575940613118610,720575940632795532,AL_L,5,ACH
5794,720575940628499322,720575940621061285,AL_L,7,SER
5802,720575940631630893,720575940632403986,AL_L,41,ACH
5815,720575940645728132,720575940611379569,AL_L,18,ACH
5832,720575940629906060,720575940617552541,AL_L,32,ACH
5834,720575940631510865,720575940623636701,AL_L,24,ACH
5835,720575940623274935,720575940616169578,AL_L,9,ACH
5889,720575940622084681,720575940630077558,AL_L,44,ACH
5918,720575940623267559,720575940648650884,AL_L,30,ACH
5920,720575940627707753,720575940648650884,AL_L,37,ACH
5928,720575940626179334,720575940630077558,AL_L,13,ACH
5936,720575940620714921,720575940624057853,AL_L,51,ACH
5938,720575940633802045,720575940631526215,AL_L,5,SER
5947,720575940622242253,720575940613489617,AL_L,5,ACH
6011,720575940631630893,720575940619931119,AL_L,6,ACH
6014,720575940634733537,720575940617175965,AL_L,30,ACH
6029,720575940631003723,720575940623528925,AL_L,48,ACH
6043,720575940615696490,720575940618308825,AL_L,104,ACH
6060,720575940612704802,720575940626143806,AL_L,18,ACH
6063,720575940629906060,720575940627066757,AL_L,68,ACH
6071,720575940609924306,720575940628914692,AL_L,8,ACH
6077,720575940612800153,720575940628467611,AL_L,23,ACH
6091,720575940628677114,720575940631683927,AL_L,42,ACH
6103,720575940633802045,720575940615669972,AL_L,8,SER
6106,720575940642599328,720575940632795532,AL_L,34,ACH
6112,720575940627214891,720575940625251401,AL_L,13,ACH
6114,720575940618960555,720575940641592795,AL_L,5,ACH
6120,720575940622745834,720575940618308825,AL_L,159,ACH
6152,720575940609924306,720575940615073587,AL_L,8,ACH
6166,720575940618293883,720575940618757666,AL_L,8,ACH
6176,720575940642599328,720575940611379569,AL_L,13,ACH
6212,720575940615060290,720575940617175965,AL_L,53,ACH
6215,720575940631925096,720575940617552541,AL_L,47,ACH
6224,720575940609924306,720575940618308825,AL_L,160,ACH
6256,720575940628953210,720575940640314190,AL_L,2,ACH
6260,720575940610686162,720575940648650884,AL_L,33,ACH
6264,720575940620015201,720575940623528925,AL_L,65,ACH
6271,720575940624037052,720575940625251401,AL_L,5,ACH
6276,720575940624853600,720575940620311718,AL_L,10,ACH
6281,720575940613466577,720575940623528925,AL_L,53,ACH
6285,720575940627000582,720575940638128474,AL_L,15,ACH
6294,720575940626179334,720575940612732273,AL_L,17,ACH
6306,720575940635114347,720575940608341806,AL_L,17,ACH
6309,720575940627214891,720575940628023685,AL_L,6,ACH
6311,720575940620714921,720575940627066757,AL_L,29,ACH
6322,720575940613637782,720575940623636701,AL_L,26,ACH
6331,720575940622242253,720575940639892413,AL_L,41,ACH
6416,720575940609228809,720575940623636701,AL_L,12,ACH
6441,720575940635114347,720575940614113682,AL_L,5,ACH
6465,720575940623274935,720575940618308825,AL_L,161,ACH
6475,720575940629539269,720575940625251401,AL_L,7,ACH
6493,720575940629239852,720575940623636701,AL_L,17,ACH
6510,720575940631925096,720575940614113682,AL_L,7,ACH
6547,720575940619150040,720575940648650884,AL_L,80,ACH
6589,720575940638249917,720575940623636701,AL_L,11,ACH
6606,720575940619150040,720575940639892413,AL_L,9,ACH
6647,720575940622242253,720575940632403986,AL_L,5,ACH
6653,720575940619150040,720575940606762686,AL_L,23,ACH
6656,720575940622375389,720575940617552541,AL_L,60,ACH
6667,720575940621100117,720575940625251401,AL_L,5,ACH
6679,720575940633915327,720575940623636701,AL_L,14,ACH
6687,720575940621482665,720575940616169578,AL_L,13,ACH
6695,720575940631925096,720575940617175965,AL_L,89,ACH
6696,720575940610694866,720575940624057853,AL_L,25,ACH
6704,720575940618293883,720575940623788040,AL_L,11,ACH
6707,720575940620981274,720575940620311718,AL_L,7,ACH
6713,720575940609577518,720575940648650884,AL_L,40,ACH
6733,720575940617990953,720575940617175965,AL_L,19,ACH
6746,720575940629906060,720575940624057853,AL_L,85,ACH
6754,720575940620714921,720575940627265274,AL_L,8,ACH
6756,720575940631510865,720575940625251401,AL_L,6,ACH
6761,720575940620981274,720575940618385620,AL_L,6,ACH
6768,720575940628264721,720575940606762686,AL_L,73,ACH
6770,720575940641979277,720575940623528925,AL_L,62,ACH
6774,720575940628976887,720575940648650884,AL_L,68,ACH
6775,720575940618293883,720575940616169578,AL_L,22,ACH
6788,720575940609577518,720575940632403986,AL_L,24,ACH
6796,720575940620023261,720575940624057853,AL_L,21,ACH
6813,720575940621100117,720575940623528925,AL_L,49,ACH
6823,720575940616923945,720575940621061285,AL_L,6,ACH
6830,720575940615060290,720575940617910848,AL_L,6,ACH
6853,720575940615060290,720575940628059722,AL_L,12,ACH
